,loss,f1_score,precision,recall,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/loss_fn,config/lr,config/momentum,config/optim_type,config/weight decay,config/num_layers,config/hidden_size,config/num_fc_layers,config/activation_type,logdir
85,0.05579372122883797,0.3967558838954859,0.3102486047691527,0.550157444894287,1709345174,,False,100,ce9bc_00085,2024-03-01_18-06-14,9.454514980316162,930.8097367286682,7523,bling-bling,192.168.0.125,930.8097367286682,100,Focal,0.01,0.06571148108332267,2,1e-05,2,64,1,2,ce9bc_00085
141,0.05451875552535057,0.3833219058545362,0.3098474341192788,0.5024741340530814,1709349555,,False,100,ce9bc_00141,2024-03-01_19-19-15,3.4387121200561523,787.6385414600372,7537,bling-bling,192.168.0.125,787.6385414600372,100,Focal,0.1,0.05110467686924747,2,1e-05,4,64,1,2,ce9bc_00141
75,0.655074954032898,0.4030179250486221,0.309736651365064,0.5766981556455241,1709344249,,False,100,ce9bc_00075,2024-03-01_17-50-49,9.086615562438965,948.2432146072388,7528,bling-bling,192.168.0.125,948.2432146072388,100,CrossEntropy,0.001,0.14607242644015647,2,1e-05,2,128,1,2,ce9bc_00075
117,0.05708064138889313,0.3906121872606637,0.30749354005167956,0.5353126405757984,1709347785,,False,100,ce9bc_00117,2024-03-01_18-49-45,10.014084577560425,1122.1943707466125,7527,bling-bling,192.168.0.125,1122.1943707466125,100,Focal,0.1,0.03812744171832114,2,1e-05,6,64,1,2,ce9bc_00117
92,0.05383491888642311,0.3673543344907319,0.30729639721465335,0.4565901934322987,1709345509,,False,100,ce9bc_00092,2024-03-01_18-11-49,10.859766721725464,976.1352083683014,7521,bling-bling,192.168.0.125,976.1352083683014,100,Focal,0.1,0.1523962246747626,2,1e-05,2,16,1,2,ce9bc_00092
133,0.056809183210134506,0.38821777867551854,0.30706806282722515,0.5276653171390013,1709349182,,False,100,ce9bc_00133,2024-03-01_19-13-02,10.218325138092041,1023.5005786418915,7524,bling-bling,192.168.0.125,1023.5005786418915,100,Focal,0.01,0.06818541910932197,2,1e-05,4,64,1,2,ce9bc_00133
131,0.6398745179176331,0.39353796706420957,0.3070330224350895,0.5479082321187584,1709348789,,False,100,ce9bc_00131,2024-03-01_19-06-29,9.792830228805542,1003.2754580974579,7529,bling-bling,192.168.0.125,1003.2754580974579,100,CrossEntropy,0.01,0.04519945428367532,2,1e-05,4,128,1,2,ce9bc_00131
77,0.05661781132221222,0.39182615480657684,0.3063657113872686,0.5434098065677013,1709344271,,False,100,ce9bc_00077,2024-03-01_17-51-11,9.608368873596191,963.4126987457275,7530,bling-bling,192.168.0.125,963.4126987457275,100,Focal,0.001,0.015734885695083984,2,1e-05,2,64,1,2,ce9bc_00077
76,0.057058319449424744,0.38140320903537156,0.3055254604550379,0.5074224021592443,1709344264,,False,100,ce9bc_00076,2024-03-01_17-51-04,9.570066690444946,962.1613123416901,7526,bling-bling,192.168.0.125,962.1613123416901,100,Focal,0.001,0.1544827989905032,2,1e-05,2,16,1,2,ce9bc_00076
37,0.03953247889876366,0.35613870264978875,0.30526992287917737,0.42735042735042733,1709341182,,False,100,ce9bc_00037,2024-03-01_16-59-42,11.63880467414856,1193.6519446372986,7524,bling-bling,192.168.0.125,1193.6519446372986,100,Focal,0.01,0.020436750687270393,1,1e-05,6,64,1,2,ce9bc_00037
